price,location,bedroom_count,bathroom_count
1711,5,1, 1,0
1800,5,1, 1,0
2195,5,2, 1,0
1450,5,1, 1,0
1580,5,1, 1,0
1752,5,1, 1,0
2999,5,2, 2,0
2347,5,3, 1,0
3500,5,2, 1,0
3500,5,2, 2,0
1850,5,1, 1,1
1695,5,1, 1,1
2150,5,2, 1,0
2700,5,3, 1,0
1800,5,1, 1,0
1500,5,1, 1,0
1500,5,1, 1,0
2250,5,2, 1,0
5000,5,5, 3,1
1650,5,1, 1,0
1956,5,2, 1,0
1735,5,2, 1,0
1670,5,1, 1,0
1700,5,1, 1,0
3950,5,4, 3,1
2080,5,3, 1,0
6000,5,3, 4,0
2250,5,3, 2,0
4500,5,4, 4,0
2300,5,2, 1,0
2650,5,2, 2,1
1800,5,1, 1,0
9950,5,4, 3,1
4800,5,3, 4,0
1650,5,1, 1,0
2300,5,2, 1,0
1600,5,1, 1,0
6200,5,5, 4,1
2250,5,2, 1,0
9950,5,4, 3,1
1750,5,1, 1,0
7250,5,3, 2,1
2200,5,2, 2,0
4500,5,3, 3,1
1280,5,1, 1,0
7000,5,4, 3,1
6200,5,4, 3,0
2000,5,1, 1,0
2500,5,2, 2,0
3200,5,3, 2,0
9500,5,1, 7,0
3600,5,2, 4,0
1600,5,1, 1,0
2200,5,2, 1,1
1495,5,1, 1,0
2500,5,2, 2,0
2700,5,2, 2,0
2150,5,1, 1,0
1650,6,1, 1,1
1650,6,1, 1,1
1697,6,2, 1,0
1567,6,1, 1,0
1200,6,1, 1,0
1100,6,1, 1,0
1878,6,2, 1,0
1700,6,1, 1,0
1425,6,1, 1,0
1875,6,2, 1,0
1950,6,2, 1,0
1425,6,1, 1,0
1240,6,1, 1,0
950,6,1, 1,0
1599,6,2, 1,0
1800,6,2, 2,0
1997,6,2, 1,0
1650,6,1, 1,1
1650,6,1, 1,1
1697,6,2, 1,0
1567,6,1, 1,0
1200,6,1, 1,0
1100,6,1, 1,0
1878,6,2, 1,0
1700,6,1, 1,0
1425,6,1, 1,0
1875,6,2, 1,0
1950,6,2, 1,0
1425,6,1, 1,0
1240,6,1, 1,0
950,6,1, 1,0
1599,6,2, 1,0
1800,6,2, 2,0
1997,6,2, 1,0
2900,6,3, 1,1
1350,6,1, 1,0
1950,6,2, 1,0
1661,6,1, 1,0
1800,6,2, 1,0
2174,6,2, 2,0
1225,6,1, 1,0
1225,6,1, 1,0
1714,6,2, 1,0
3400,6,4, 2,0
1450,6,1, 1,0
3600,6,4, 4,0
2000,6,2, 1,1
2195,6,2, 1,0
1367,6,1, 1,0
1900,6,2, 1,0
2000,6,2, 2,0
996,6,1, 1,0
1080,6,2, 2,0
944,6,3, 1,0
928,6,3, 1,0
936,6,3, 1,0
880,6,1, 1,0
916,6,3, 1,0
1545,7,1, 1,0
1750,7,2, 1,0
1715,7,2, 1,0
1490,7,1, 1,0
1950,7,2, 1,0
1737,7,2, 1,0
1510,7,1, 1,0
1357,7,1, 1,0
1900,7,2, 1,0
2000,7,2, 2,0
1747,7,2, 1,0
1950,7,2, 1,0
1700,7,2, 1,0
1650,7,1, 1,0
2100,7,2, 1,0
1145,7,1, 1,0
1990,7,2, 2,0
1545,7,1, 1,0
1750,7,2, 1,0
1715,7,2, 1,0
1490,7,1, 1,0
1950,7,2, 1,0
1737,7,2, 1,0
1510,7,1, 1,0
1357,7,1, 1,0
1900,7,2, 1,0
2000,7,2, 2,0
1747,7,2, 1,0
1950,7,2, 1,0
1700,7,2, 1,0
1650,7,1, 1,0
2100,7,2, 1,0
1145,7,1, 1,0
1990,7,2, 2,0
1700,7,1, 2,0
1165,7,1, 1,0
1500,7,1, 1,0
3700,7,2, 1,0
2700,7,2, 1,0
2100,7,2, 1,0
1200,7,1, 1,0
1600,7,1, 1,0
1500,7,1, 1,0
2027,7,2, 2,0
1600,7,1, 1,1
1215,7,2, 1,0
1725,7,2, 1,0
3250,7,3, 3,0
1667,7,1, 1,0
2550,7,3, 1,0
2400,7,2, 2,0
2600,7,2, 1,0
2100,7,2, 1,0
2500,7,2, 3,0
2000,7,1, 2,0
1900,7,2, 1,0
1750,7,1, 1,0
1550,7,1, 1,0
2200,7,2, 2,0
1545,7,1, 1,0
2300,7,2, 1,0
1900,7,2, 1,0
1950,7,2, 2,0
2250,7,2, 2,0
2250,7,2, 2,0
1900,7,2, 1,0
1950,7,2, 1,0
1550,7,1, 1,0
3750,7,4, 2,1
4100,7,3, 2,0
2600,7,3, 3,0
1500,7,1, 1,0
3640,7,2, 1,0
2050,7,1, 1,0
1040,7,6, 6,0
928,7,6, 6,0
1120,7,6, 6,0
912,7,6, 6,0
1080,7,6, 6,0
1008,7,6, 6,0
1016,7,6, 6,0
896,7,6, 6,0
912,7,6, 6,0
1000,7,6, 6,0
1020,7,6, 6,0
1032,7,6, 6,0
1060,7,6, 6,0
1080,7,6, 6,0
1100,7,6, 6,0
1120,7,6, 6,0
1088,7,6, 6,0
1088,7,6, 6,0
1000,7,1, 1,0
1040,7,1, 1,0
1080,7,1, 1,0
1000,7,1, 1,0
1040,7,1, 1,0
1080,7,1, 1,0
1120,7,1, 1,0
1080,7,6, 6,0
1080,7,6, 6,0
1008,7,8, 8,0
1032,7,7, 7,0
1128,7,4, 4,0
860,7,4, 4,0
1750,7,1, 1,0
2100,7,1, 1,0
2300,7,1, 1,0
2000,8,3, 2,0
2350,8,3, 2,0
2500,8,3, 3,0
1750,8,1, 1,0
1500,8,1, 1,0
2000,8,2, 1,0
1890,8,2, 2,0
2000,8,2, 2,0
1950,8,2, 2,0
2500,8,3, 1,0
1940,8,2, 2,0
2500,8,2, 1,0
1900,8,1, 1,0
2250,8,2, 2,1
3045,8,3, 3,0
1750,8,1, 1,0
2000,8,2, 2,0
2500,8,3, 2,0
2225,8,2, 2,0
500,8,1, 1,0
2000,8,3, 2,0
2350,8,3, 2,0
2500,8,3, 3,0
1750,8,1, 1,0
1500,8,1, 1,0
2000,8,2, 1,0
1890,8,2, 2,0
2000,8,2, 2,0
1950,8,2, 2,0
2500,8,3, 1,0
1940,8,2, 2,0
2500,8,2, 1,0
1900,8,1, 1,0
2250,8,2, 2,1
3045,8,3, 3,0
1750,8,1, 1,0
2000,8,2, 2,0
2500,8,3, 2,0
2225,8,2, 2,0
500,8,1, 1,0
1500,9,2, 1,0
1500,9,2, 1,0
2200,10,3, 2,0
1300,10,1, 1,0
1800,10,2, 2,0
1600,10,2, 2,0
2695,10,4, 2,1
1813,10,2, 2,0
1900,10,3, 3,0
1579,10,2, 1,0
1700,10,2, 2,0
2000,10,2, 2,0
1667,10,2, 1,0
2000,10,3, 1,1
1450,10,1, 1,1
1875,10,2, 2,0
1870,10,2, 1,1
1640,10,1, 1,1
2024,10,3, 3,0
1800,10,2, 2,0
1775,10,3, 2,0
1675,10,1, 1,0
2200,10,3, 2,0
1300,10,1, 1,0
1800,10,2, 2,0
1600,10,2, 2,0
2695,10,4, 2,1
1813,10,2, 2,0
1900,10,3, 3,0
1579,10,2, 1,0
1700,10,2, 2,0
2000,10,2, 2,0
1667,10,2, 1,0
2000,10,3, 1,1
1450,10,1, 1,1
1875,10,2, 2,0
1870,10,2, 1,1
1640,10,1, 1,1
2024,10,3, 3,0
1800,10,2, 2,0
1775,10,3, 2,0
1675,10,1, 1,0
1950,10,2, 2,0
1950,10,2, 2,0
1800,10,2, 1,0
1850,10,2, 2,0
1450,10,1, 1,0
1400,10,1, 1,0
2024,10,2, 2,0
2400,11,3, 3,0
2400,11,3, 3,0
1768,12,1, 1,0
3000,12,3, 3,0
2200,12,2, 1,0
1900,12,2, 2,0
2900,12,3, 2,0
1669,12,2, 2,0
1750,12,2, 2,0
1600,12,1, 1,0
2216,12,4, 3,1
3500,12,4, 2,0
2201,12,3, 3,0
2350,12,2, 2,0
1565,12,2, 1,0
2250,12,2, 2,0
4500,12,5, 4,1
9800,12,3, 2,0
5800,12,4, 5,1
2950,12,3, 2,0
2400,12,3, 3,0
2000,12,2, 1,0
1768,12,1, 1,0
3000,12,3, 3,0
2200,12,2, 1,0
1900,12,2, 2,0
2900,12,3, 2,0
1669,12,2, 2,0
1750,12,2, 2,0
1600,12,1, 1,0
2216,12,4, 3,1
3500,12,4, 2,0
2201,12,3, 3,0
2350,12,2, 2,0
1565,12,2, 1,0
2250,12,2, 2,0
4500,12,5, 4,1
9800,12,3, 2,0
5800,12,4, 5,1
2950,12,3, 2,0
2400,12,3, 3,0
2000,12,2, 1,0
1800,12,2, 1,0
1799,12,1, 1,0
2025,12,2, 2,0
1599,12,1, 1,0
1850,12,2, 2,0
1650,12,2, 1,0
2490,12,3, 2,0
2000,12,2, 2,0
1600,13,2, 2,0
2850,13,3, 2,0
2750,13,3, 1,0
3750,13,4, 3,0
1850,13,1, 1,0
2000,13,2, 2,0
2200,13,2, 2,0
1650,13,1, 1,0
1700,13,2, 2,0
1995,13,2, 1,0
1850,13,2, 1,0
2150,13,2, 2,0
1782,13,1, 1,0
1845,13,1, 1,0
3000,13,3, 2,1
2117,13,2, 1,0
1845,13,1, 1,0
2044,13,2, 2,0
1400,13,1, 1,0
1600,13,2, 2,0
2850,13,3, 2,0
2750,13,3, 1,0
3750,13,4, 3,0
1850,13,1, 1,0
2000,13,2, 2,0
2200,13,2, 2,0
1650,13,1, 1,0
1700,13,2, 2,0
1995,13,2, 1,0
1850,13,2, 1,0
2150,13,2, 2,0
1782,13,1, 1,0
1845,13,1, 1,0
3000,13,3, 2,1
2117,13,2, 1,0
1845,13,1, 1,0
2044,13,2, 2,0
1400,13,1, 1,0
1750,13,2, 1,1
2600,13,3, 2,1
2956,13,4, 2,0
2500,13,3, 2,1
2150,13,2, 2,1
3000,13,4, 3,0
2100,13,2, 1,0
3125,13,4, 3,1
1900,13,2, 2,0
2500,13,2, 1,0
3000,13,4, 2,0
1900,13,2, 2,0
3875,13,4, 3,0
2250,13,3, 1,0
2288,13,2, 2,0
2629,13,4, 2,0
2000,13,3, 1,0
4500,13,3, 3,1
2500,13,2, 2,0
1975,13,1, 1,1
2300,13,2, 2,1
2550,13,2, 2,1
3000,13,3, 2,1
2600,14,3, 4,0
2400,14,3, 1,0
2200,14,2, 2,0
1550,14,1, 1,0
2000,14,2, 2,0
1600,14,1, 1,0
1300,14,1, 1,0
1687,14,3, 1,1
2100,14,3, 3,0
1685,14,2, 1,0
1600,14,2, 1,0
2300,14,3, 3,0
1800,14,2, 2,0
2180,14,3, 3,0
1850,14,2, 2,0
1850,14,2, 2,1
2400,14,4, 3,0
2200,14,3, 2,0
1400,14,1, 1,0
2600,14,3, 4,0
2400,14,3, 1,0
2200,14,2, 2,0
1550,14,1, 1,0
2000,14,2, 2,0
1600,14,1, 1,0
1300,14,1, 1,0
1687,14,3, 1,1
2100,14,3, 3,0
1685,14,2, 1,0
1600,14,2, 1,0
2300,14,3, 3,0
1800,14,2, 2,0
2180,14,3, 3,0
1850,14,2, 2,0
1850,14,2, 2,1
2400,14,4, 3,0
2200,14,3, 2,0
1400,14,1, 1,0
1900,14,3, 3,0
2600,14,4, 1,0
2100,14,2, 1,1
1800,14,2, 2,0
1500,14,1, 1,0
1600,14,0, 1,0
1614,14,2, 2,0
1900,14,2, 1,0
2300,14,4, 2,0
1900,14,2, 3,0
3000,14,5, 3,0
2250,14,3, 3,0
3900,14,5, 3,1
1670,14,2, 1,0
1875,14,2, 1,1
1650,14,2, 2,0
2118,14,3, 2,0
1950,14,2, 2,0
2100,14,3, 3,0
1900,14,3, 3,0
1850,14,2, 2,0
2320,14,2, 2,0
1930,14,3, 3,0
2050,14,2, 2,0
2350,14,3, 3,0
2500,14,4, 3,0
1950,14,2, 2,0
2350,14,4, 1,0
1600,15,1, 1,0
1495,15,2, 1,0
2100,15,3, 1,1
1595,15,2, 1,0
2000,15,3, 1,0
2950,15,3, 3,0
1000,15,1, 1,0
2660,15,3, 2,0
1600,15,1, 1,0
1495,15,2, 1,0
2100,15,3, 1,1
1595,15,2, 1,0
2000,15,3, 1,0
2950,15,3, 3,0
1000,15,1, 1,0
2660,15,3, 2,0
2100,16,3, 1,0
2100,16,3, 1,0
1550,17,1, 1,0
2200,17,1, 1,0
2495,17,3, 2,0
2940,17,4, 2,1
4000,17,2, 2,0
2200,17,2, 1,0
1600,17,1, 1,0
2075,17,2, 2,0
2350,17,2, 3,0
2100,17,3, 2,1
1900,17,2, 2,1
1900,17,2, 1,0
2070,17,2, 2,0
2500,17,3, 2,1
1800,17,1, 1,0
1750,17,1, 1,0
2690,17,2, 3,0
1935,17,2, 3,0
2150,17,2, 2,0
1785,17,2, 1,0
1550,17,1, 1,0
2200,17,1, 1,0
2495,17,3, 2,0
2940,17,4, 2,1
4000,17,2, 2,0
2200,17,2, 1,0
1600,17,1, 1,0
2075,17,2, 2,0
2350,17,2, 3,0
2100,17,3, 2,1
1900,17,2, 2,1
1900,17,2, 1,0
2070,17,2, 2,0
2500,17,3, 2,1
1800,17,1, 1,0
1750,17,1, 1,0
2690,17,2, 3,0
1935,17,2, 3,0
2150,17,2, 2,0
1785,17,2, 1,0
3200,17,2, 2,0
2000,17,2, 2,0
1800,17,1, 1,0
2250,17,2, 2,0
3950,17,3, 3,1
1900,17,2, 2,0
3700,17,4, 2,1
2100,17,2, 2,0
1900,17,1, 2,0
2600,17,3, 2,0
2650,17,3, 2,0
2600,17,1, 1,0
3500,17,3, 3,0
2000,17,2, 2,0
5500,17,5, 3,1
2500,17,3, 2,1
2040,17,2, 2,0
1575,17,2, 2,0
1549,17,1, 1,0
2505,17,3, 2,0
1850,17,1, 1,0
2100,17,2, 2,0
3800,17,3, 2,0
3920,17,2, 2,0
4200,17,2, 2,0
3920,17,2, 2,0
2200,18,2, 1,0
1750,18,1, 1,0
2500,18,2, 2,0
2000,18,3, 2,0
2300,18,2, 1,0
2600,18,3, 4,0
2400,18,3, 1,0
2300,18,3, 2,0
1550,18,1, 1,0
1545,18,1, 1,0
1600,18,1, 1,0
2200,18,2, 2,0
1890,18,1, 1,0
2200,18,1, 1,0
2700,18,3, 2,1
1795,18,1, 1,0
1150,18,1, 1,0
1800,18,1, 1,0
2600,18,2, 2,0
2200,18,2, 1,0
1750,18,1, 1,0
2500,18,2, 2,0
2000,18,3, 2,0
2300,18,2, 1,0
2600,18,3, 4,0
2400,18,3, 1,0
2300,18,3, 2,0
1550,18,1, 1,0
1545,18,1, 1,0
1600,18,1, 1,0
2200,18,2, 2,0
1890,18,1, 1,0
2200,18,1, 1,0
2700,18,3, 2,1
1795,18,1, 1,0
1150,18,1, 1,0
1800,18,1, 1,0
2600,18,2, 2,0
1750,18,2, 1,0
1150,18,1, 1,0
1550,18,1, 1,0
1570,18,2, 1,0
2250,18,2, 2,0
1674,18,1, 1,0
1300,18,1, 1,0
2000,18,2, 2,0
1768,18,1, 1,0
1768,18,2, 1,1
1600,18,1, 1,0
2495,18,3, 2,0
2400,18,2, 2,0
1700,18,2, 2,0
2200,18,2, 1,0
1650,18,1, 1,1
1650,18,1, 1,1
1700,18,2, 2,0
1300,18,1, 1,0
1750,18,1, 1,0
2200,18,3, 2,0
1715,18,2, 1,0
2300,18,3, 2,0
1950,18,3, 3,0
1975,18,2, 3,0
1550,18,1, 1,0
1700,18,2, 2,0
1721,18,2, 1,0
1828,18,2, 1,0
1750,18,2, 2,0
1925,18,3, 3,0
1495,18,2, 1,0
2350,18,3, 2,0
1475,18,2, 2,0
1600,18,2, 2,0
3000,18,3, 3,0
2940,18,4, 2,1
2850,18,3, 2,0
2750,18,3, 1,0
3750,18,3, 2,0
2000,18,2, 1,0
2300,18,2, 1,0
2500,18,2, 2,0
1300,18,1, 1,0
2400,18,3, 2,0
1697,18,2, 1,0
2950,18,3, 2,1
1686,18,2, 2,0
4250,18,4, 1,0
1280,18,2, 1,0
2500,18,2, 2,0
1800,18,2, 2,0
1600,18,3, 1,0
4000,18,2, 2,0
1400,18,1, 1,0
600,18,1, 1,0
2200,18,3, 2,0
3750,18,4, 3,0
2300,18,3, 2,0
1000,18,1, 1,0
1000,18,1, 1,1
1850,18,1, 1,0
3250,18,3, 1,0
1800,18,2, 1,0
1450,18,2, 1,0
2000,18,2, 2,0
1800,18,2, 1,0
1700,18,1, 1,0
2600,18,2, 1,0
1900,18,1, 1,0
3800,18,5, 4,1
1260,18,2, 1,0
1300,18,1, 1,0
1600,18,1, 1,0
1600,18,1, 1,0
3500,18,3, 2,1
1925,18,2, 1,0
1460,18,1, 1,0
2000,18,2, 1,0
1687,18,3, 1,1
1569,18,1, 1,0
2000,18,3, 2,0
2400,18,4, 2,0
2200,18,2, 2,0
2100,18,2, 1,0
2549,18,2, 2,0
1490,18,1, 1,0
1850,18,1, 1,0
2450,18,2, 1,0
2400,18,2, 1,0
1950,18,2, 1,0
2200,18,2, 1,0
1550,18,2, 1,1
2900,18,2, 3,0
1800,18,1, 1,0
